,Class,Accuracy,Precision,Negative Predictive Rate,Sensitivity,Specificity,False Positive Rate,False Negative Rate,False Discovery Rate,F1 Score,No of samples
1,I,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
17,measure,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
33,where,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
32,what,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
31,weight,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
29,vacation,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
28,time,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
27,this,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
25,there,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
24,sugar,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
23,stand,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
22,some,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
21,snake,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
20,skin,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
19,promise,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
2,add,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
18,mirror,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
16,me,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
15,lose,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
3,assist,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
4,assistance,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
5,boxing,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
6,control,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
7,friend,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
8,ghost,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
34,you,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
9,good,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
10,gun,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
11,handcuffs,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
12,help,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
13,how,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
14,learn,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20
30,varanasi,0.9985294117647059,0.9523809523809523,1.0,1.0,0.9984848484848485,0.0015151515151515152,0.0,0.047619047619047616,0.975609756097561,20
26,thick,0.9985294117647059,1.0,0.9984871406959153,0.95,1.0,0.0,0.05,0.0,0.9743589743589743,20
